archetype_key,zh,pinyin,category,en,es,ja,ko,th,vi,basis,status
bazi:shensha:wenchang,文昌,wénchāng,神煞,Wenchang,Wenchang,文昌,문창,เหวินชาง,Văn Xương,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:wenqu,文曲,wénqǔ,神煞,Wenqu,Wenqu,文曲,문곡,เหวินชวี้,Văn Khúc,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:zuofu,左辅,zuǒfǔ,神煞,Zuofu,Zuofu,左輔,좌보,จั่วฝู่,Tả Phụ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:youbi,右弼,yòubì,神煞,Youbi,Youbi,右弼,우필,โยวปี้,Hữu Bật,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:tiankui,天魁,tiānkuí,神煞,Tiankui,Tiankui,天魁,천괴,เทียนคุย,Thiên Khuê,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:tianyue,天钺,tiānyuè,神煞,Tianyue,Tianyue,天鉞,천월,เทียนเยว่,Thiên Việt,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:lucun,禄存,lùcún,神煞,Lucun,Lucun,祿存,녹존,ลู่ชุน,Lộc Tồn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:qingyang,擎羊,qíngyáng,神煞,Qingyang,Qingyang,擎羊,경양,ชิงหยาง,Kình Dương,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:tuoluo,陀罗,tuóluó,神煞,Tuoluo,Tuoluo,陀羅,타라,ถัวลัว,Đà La,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:huoxing,火星,huǒxīng,神煞,Huoxing (Mars),Huoxing (Marte),火星,화성,หัวซิง,Hỏa Tinh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:lingxing,铃星,língxīng,神煞,Lingxing,Lingxing,鈴星,영성,หลิงซิง,Linh Tinh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:tianyiguiren,天乙贵人,tiānyǐguìrén,神煞,Nobleman,Noble,天乙貴人,천을귀인,เทียนอี้กุยเหริน,Thiên Ất Quý Nhân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:taijiguiren,太极贵人,tàijíguìrén,神煞,Taiji Nobleman,Noble Taiji,太極貴人,태극귀인,ไท่จี๋กุยเหริน,Thái Cực Quý Nhân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:tiande,天德,tiāndé,神煞,Heavenly Virtue,Virtud Celestial,天德貴人,천덕귀인,เทียนเต๋อกุยเหริน,Thiên Đức Quý Nhân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:yuede,月德,yuèdé,神煞,Lunar Virtue,Virtud Lunar,月德貴人,월덕귀인,เยว่เต๋อกุยเหริน,Nguyệt Đức Quý Nhân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:tiandehe,天德合,tiāndéhé,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:yuedehe,月德合,yuèdéhé,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:taohua,桃花,táohuā,神煞,Peach Blossom,Flor de durazno,桃花,도화,เทาฮัว,Đào Hoa,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:xianchi,咸池,xiánchí,神煞,Xianchi (Peach Blossom),Xianchi (Flor de durazno),咸池,함지,เซียนฉือ,Hàm Trì,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:yima,驿马,yìmǎ,神煞,Sky Horse,Cabalo del cielo,驛馬,역마,อี้หม่า,Dịch Mã,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:huagai,华盖,huágài,神煞,Canopy,Dosel,華蓋,화개,หัวไก่,Hoa Cái,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:guchen,孤辰,gūchén,神煞,Solitude Star,Estrella de la soledad,孤辰,고진,กูเฉิน,Cô Thần,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:guasu,寡宿,guǎsù,神煞,Widowhood Star,Estrella de la viudez,寡宿,과수,กวาซิ่ว,Quả Tú,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:jiesha,劫煞,jiéshā,神煞,Robbery Star,Estrella del robo,劫煞,격살,เจี๋ยซา,Kiếp Sát,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:zaisha,灾煞,zāishā,神煞,Calamity Star,Estrella de la calamidad,災煞,재살,ไจซา,Tai Sát,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:suipo,岁破,suìpò,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:dahao,大耗,dàhào,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:posui,破碎,pòsuì,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:hongluan,红鸾,hóngluán,神煞,Hongluan,Hongluan,紅鸞,홍란,หงหลวน,Hồng Loan,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:tianxi,天喜,tiānxǐ,神煞,Tianxi (Sky Joy),Tianxi (Alegría celeste),天喜,천희,เทียนซี,Thiên Hỷ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:yinsha,阴煞,yīnshā,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:tianyao,天姚,tiānyáo,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:tianxing,天刑,tiānxíng,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:jieshen,解神,jiěshén,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:longde,龙德,lóngdé,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:baobai,暴败,bàobài,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:sangmen,丧门,sāngmén,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:diaoke,吊客,diàokè,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:baihu,白虎,báihǔ,神煞,White Tiger,Tigre Blanco,白虎,백호,ไป๋หู,Bạch Hổ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:jiangxing,将星,jiāngxīng,神煞,General Star,Estrella del general,將星,장성,เจี้ยงซิง,Tướng Tinh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:panan,攀鞍,pānān,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:suiyi,岁驿,suìyì,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:xishen,息神,xīshén,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:tianchu,天厨,tiānchú,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:tiancai,天才,tiāncái,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:tianshou,天寿,tiānshòu,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:guasuguchen,寡宿孤辰并见,guǎsùgūchén,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:taohuadaisha,桃花带杀,táohuādàishā,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:guirenruming,贵人入命,guìrénrùmìng,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:yimafengchong,驿马逢冲,yìmǎféngchōng,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:huagaifengkong,华盖逢空,huágàiféngkōng,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:sanqiguiren,三奇贵人,sānqíguìrén,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:tiandeyuede,天德月德并临,tiāndéyuèdé,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:yangren,羊刃,yángrèn,神煞,Goat Blade,Filo de la Cabra,羊刃,양인,หยางเหริน,Dương Nhẫn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shensha:feiren,飞刃,fēirèn,神煞,—,—,—,—,—,—,,tier2_pending
bazi:shensha:xueren,血刃,xuèrèn,神煞,—,—,—,—,—,—,,tier2_pending
common:school:zipingbazi,子平八字,zǐpíngbāzì,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:ziweidoushu,紫微斗数,zǐwēidǒushù,命理流派,Zi Wei Dou Shu,Zi Wei Dou Shu,紫微斗数,자미두수,จื่อเหวยโดวซู,Tử Vi Đẩu Số,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
common:school:qimendunjia,奇门遁甲,qíméndùnjiǎ,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:daliuren,大六壬,dàliùrén,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:taiyishenshu,太乙神数,tàiyǐshénshù,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:tiebanshenshu,铁板神数,tiěbǎnshénshù,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:meihuayishu,梅花易数,méihuāyìshù,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:shaozishenshu,邵子神数,shàozǐshénshù,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:cezi,测字,cèzì,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:mianxiang,面相,miànxiàng,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:shouxiang,手相,shǒuxiàng,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:fengshuiluantou,风水峦头,fēngshuǐluántóu,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:fengshuiliqi,风水理气,fēngshuǐlǐqì,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:qizhengsiyu,七政四余,qīzhèngsìyú,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:guolaoxingzong,果老星宗,guǒlǎoxīngzōng,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:yanqin,演禽,yǎnqín,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:jiugongfeixing,九宫飞星,jiǔgōngfēixīng,命理流派,—,—,—,—,—,—,,tier2_pending
common:school:xuankongfeixing,玄空飞星,xuánkōngfēixīng,命理流派,—,—,—,—,—,—,,tier2_pending
common:sancai:taiji,太极,tàijí,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:liangyi,两仪,liǎngyí,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:sancai,三才,sāncái,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:sixiang,四象,sìxiàng,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:yinyang,阴阳,yīnyáng,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:wuji,无极,wújí,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:daoshengyi,道生一,dàoshēngyī,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:xiantianbagua,先天八卦,xiāntiānbāguà,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:houtianbagua,后天八卦,hòutiānbāguà,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:hetu,河图,hétú,三才四象,—,—,—,—,—,—,,tier2_pending
common:sancai:luoshu,洛书,luòshū,三才四象,—,—,—,—,—,—,,tier2_pending
yijing:heluo:tianyishengshui,天一生水,tiānyīshēngshuǐ,河洛,—,—,—,—,—,—,,tier2_pending
yijing:heluo:diershenghuo,地二生火,dìèrshēnghuǒ,河洛,—,—,—,—,—,—,,tier2_pending
yijing:heluo:tiansanshengmu,天三生木,tiānsānshēngmù,河洛,—,—,—,—,—,—,,tier2_pending
yijing:heluo:disishengjin,地四生金,dìsìshēngjīn,河洛,—,—,—,—,—,—,,tier2_pending
yijing:heluo:tianwushengtu,天五生土,tiānwǔshēngtǔ,河洛,—,—,—,—,—,—,,tier2_pending
yijing:heluo:shengchengshu,生成数,shēngchéngshù,河洛,—,—,—,—,—,—,,tier2_pending
yijing:heluo:xiantianshu,先天数,xiāntiānshù,河洛,—,—,—,—,—,—,,tier2_pending
yijing:heluo:houtianshu,后天数,hòutiānshù,河洛,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:ri,日,rì,七政四余,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:yue,月,yuè,七政四余,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:jinxing,金星,jīnxīng,七政四余,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:muxing,木星,mùxīng,七政四余,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:shuixing,水星,shuǐxīng,七政四余,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:huoxing,火星,huǒxīng,七政四余,Huoxing (Mars),Huoxing (Marte),火星,화성,หัวซิง,Hỏa Tinh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
astrology:qizheng:tuxing,土星,tǔxīng,七政四余,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:luohou,罗睺,luóhóu,七政四余,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:jidou,计都,jìdōu,七政四余,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:ziqi,紫气,zǐqì,七政四余,—,—,—,—,—,—,,tier2_pending
astrology:qizheng:yuebei,月孛,yuèbèi,七政四余,—,—,—,—,—,—,,tier2_pending
qimen:term:tianpeng,天蓬,tiānpéng,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:tianrui,天芮,tiānruì,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:tianchong,天冲,tiānchōng,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:tianfu,天辅,tiānfǔ,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:tianqin,天禽,tiānqín,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:tianxin,天心,tiānxīn,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:tianzhu,天柱,tiānzhù,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:tianren,天任,tiānrèn,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:tianying,天英,tiānyīng,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:xiumen,休门,xiūmén,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:shengmen,生门,shēngmén,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:shangmen,伤门,shāngmén,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:dumen,杜门,dùmén,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:jingmen,景门,jǐngmén,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:simen,死门,sǐmén,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:jingmen_2,惊门,jīngmén,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:kaimen,开门,kāimén,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:zhifu,值符,zhífú,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:tengshe,螣蛇,téngshé,奇门遁甲,Tengshe,Tengshe,螣蛇,등사,เติ้งเสอ,Đằng Xà,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
qimen:term:taiyin,太阴,tàiyīn,奇门遁甲,Taiyin (Moon),Taiyin (Luna),太陰,태음,ไท่อิน,Thái Âm,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
qimen:term:liuhe,六合,liùhé,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:baihu,白虎,báihǔ,奇门遁甲,White Tiger,Tigre Blanco,白虎,백호,ไป๋หู,Bạch Hổ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
qimen:term:xuanwu,玄武,xuánwǔ,奇门遁甲,Xuanwu,Xuanwu,玄武,현무,เสวียนอู่,Huyền Vũ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
qimen:term:jiudi,九地,jiǔdì,奇门遁甲,—,—,—,—,—,—,,tier2_pending
qimen:term:jiutian,九天,jiǔtiān,奇门遁甲,—,—,—,—,—,—,,tier2_pending
liuren:term:guiren,贵人,guìrén,六壬,—,—,—,—,—,—,,tier2_pending
liuren:term:tengshe,螣蛇,téngshé,六壬,Tengshe,Tengshe,螣蛇,등사,เติ้งเสอ,Đằng Xà,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
liuren:term:zhuque,朱雀,zhūquè,六壬,Vermilion Bird,Ave Bermellón,朱雀,주작,จูเชว่,Chu Tước,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
liuren:term:liuhe,六合,liùhé,六壬,—,—,—,—,—,—,,tier2_pending
liuren:term:gouchen,勾陈,gōuchén,六壬,Gouchen,Gouchen,勾陳,구진,โกวเฉิน,Câu Trần,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
liuren:term:qinglong,青龙,qīnglóng,六壬,Azure Dragon,Dragón Azul,青龍,청룡,ชิงหลง,Thanh Long,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
liuren:term:tiankong,天空,tiānkōng,六壬,—,—,—,—,—,—,,tier2_pending
liuren:term:baihu,白虎,báihǔ,六壬,White Tiger,Tigre Blanco,白虎,백호,ไป๋หู,Bạch Hổ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
liuren:term:taichang,太常,tàicháng,六壬,—,—,—,—,—,—,,tier2_pending
liuren:term:xuanwu,玄武,xuánwǔ,六壬,Xuanwu,Xuanwu,玄武,현무,เสวียนอู่,Huyền Vũ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
liuren:term:taiyin,太阴,tàiyīn,六壬,Taiyin (Moon),Taiyin (Luna),太陰,태음,ไท่อิน,Thái Âm,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
liuren:term:tianhou,天后,tiānhòu,六壬,—,—,—,—,—,—,,tier2_pending
calendar:jieqi:lichun,立春,lìchūn,节气,Beginning of Spring,Comienzo de la primavera,立春,입춘,ลี่ชุน,Lập Xuân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:yushui,雨水,yǔshuǐ,节气,Rain Water,Agua de lluvia,雨水,우수,อวี่สุ่ย,Vũ Thủy,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:jingzhe,惊蛰,jīngzhé,节气,Awakening of Insects,Despertar de los insectos,啓蟄,경칩,จิงเจอ,Kinh Trập,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:chunfen,春分,chūnfēn,节气,Spring Equinox,Equinoccio de primavera,春分,춘분,ชุนเฟิน,Xuân Phân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:qingming,清明,qīngmíng,节气,Pure Brightness,Claridad pura,清明,청명,ชิงหมิง,Thanh Minh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:guyu,谷雨,gǔyǔ,节气,Grain Rain,Lluvia de grano,穀雨,곡우,กูอวี่,Cốc Vũ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:lixia,立夏,lìxià,节气,Beginning of Summer,Comienzo del verano,立夏,입하,ลี่เซี่ย,Lập Hạ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:xiaoman,小满,xiǎomǎn,节气,Grain Buds,Llenitud de granos,小満,소만,เสี่ยวหมาน,Tiểu Mãn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:mangzhong,芒种,mángzhòng,节气,Grain in Ear,Granos con espiga,芒種,망종,หมางจ้อง,Mang Chủng,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:xiazhi,夏至,xiàzhì,节气,Summer Solstice,Solsticio de verano,夏至,하지,เซี่ยจื้อ,Hạ Chí,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:xiaoshu,小暑,xiǎoshǔ,节气,Minor Heat,Calor menor,小暑,소서,เสี่ยวฉู่,Tiểu Thử,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:dashu,大暑,dàshǔ,节气,Major Heat,Calor mayor,大暑,대서,ต้าฉู่,Đại Thử,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:liqiu,立秋,lìqiū,节气,Beginning of Autumn,Comienzo del otoño,立秋,입추,ลี่ชิว,Lập Thu,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:chushu,处暑,chǔshǔ,节气,End of Heat,Fin del calor,処暑,처서,ฉู่ฉู่,Xử Thử,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:bailu,白露,báilù,节气,White Dew,Rocío blanco,白露,백로,ไป๋ลู่,Bạch Lộ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:qiufen,秋分,qiūfēn,节气,Autumn Equinox,Equinoccio de otoño,秋分,추분,ชิวเฟิน,Thu Phân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:hanlu,寒露,hánlù,节气,Cold Dew,Rocío frío,寒露,한로,หานลู่,Hàn Lộ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:shuangjiang,霜降,shuāngjiàng,节气,Frost's Descent,Descenso de escarcha,霜降,상강,ซวางเจี้ยง,Sương Giáng,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:lidong,立冬,lìdōng,节气,Beginning of Winter,Comienzo del invierno,立冬,입동,ลี่ตง,Lập Đông,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:xiaoxue,小雪,xiǎoxuě,节气,Minor Snow,Nieve menor,小雪,소설,เสี่ยวเสวี่ย,Tiểu Tuyết,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:daxue,大雪,dàxuě,节气,Major Snow,Nieve mayor,大雪,대설,ต้าเสวี่ย,Đại Tuyết,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:dongzhi,冬至,dōngzhì,节气,Winter Solstice,Solsticio de invierno,冬至,동지,ตงจื้อ,Đông Chí,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:xiaohan,小寒,xiǎohán,节气,Minor Cold,Frío menor,小寒,소한,เสี่ยวหาน,Tiểu Hàn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:jieqi:dahan,大寒,dàhán,节气,Major Cold,Frío mayor,大寒,대한,ต้าหาน,Đại Hàn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:zeri:jian,建,jiàn,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:chu,除,chú,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:man,满,mǎn,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:ping,平,píng,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:ding,定,dìng,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:zhi,执,zhí,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:po,破,pò,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:wei,危,wēi,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:cheng,成,chéng,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:shou,收,shōu,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:kai,开,kāi,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:bi,闭,bì,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:qinglong,青龙,qīnglóng,择日,Azure Dragon,Dragón Azul,青龍,청룡,ชิงหลง,Thanh Long,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:zeri:mingtang,明堂,míngtáng,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:tianxing,天刑,tiānxíng,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:zhuque,朱雀,zhūquè,择日,Vermilion Bird,Ave Bermellón,朱雀,주작,จูเชว่,Chu Tước,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:zeri:jingui,金匮,jīnguì,择日,—,—,—,—,—,—,,tier2_pending
